amfi_code,category,sector,source_url,note
152920,Sectoral/Thematic,,,LIC MF Manufacturing Fund-Direct Plan-Growth
154244,Sectoral/Thematic,,,LIC MF Technology Fund-Direct Plan-Growth
152045,Sectoral/Thematic,,,Mahindra Manulife Business Cycle Fund - Direct Plan - Growth
154121,Sectoral/Thematic,,,Mahindra Manulife Innovation Opportunities Fund - Direct - Growth
152672,Sectoral/Thematic,,,Mahindra Manulife Manufacturing Fund - Direct Plan - Growth
153674,Sectoral/Thematic,,,Mahindra Manulife Banking & Financial Services Fund - Direct - Growth
153364,Sectoral/Thematic,,,Motilal Oswal Active Momentum Fund- Direct-Growth
152796,Sectoral/Thematic,,,Motilal Oswal Business Cycle Fund - Direct Plan- Growth
153913,Sectoral/Thematic,,,Motilal Oswal Consumption Fund-Direct-Growth
152964,Sectoral/Thematic,,,Motilal Oswal Digital India Fund - Direct Plan - Growth
154142,Sectoral/Thematic,,,Motilal Oswal Financial Services Fund- Direct Growth
153484,Sectoral/Thematic,,,Motilal Oswal Infrastructure Fund-Direct-Growth
153258,Sectoral/Thematic,,,Motilal Oswal Innovation Opportunities Fund - Direct Plan- Growth
152760,Sectoral/Thematic,,,Motilal Oswal Manufacturing Fund - Direct Plan- Growth
152694,Sectoral/Thematic,,,Motilal Oswal Quant Fund - Direct - Growth
153558,Sectoral/Thematic,,,Motilal Oswal Services Fund - Direct Plan - Growth
153749,Sectoral/Thematic,,,Motilal Oswal Special Opportunities Fund - Direct - Growth
153274,Sectoral/Thematic,,,Nippon India Active Momentum Fund-Direct Plan - Growth Option
118588,Sectoral/Thematic,,,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Bonus Option
118722,Sectoral/Thematic,,,Nippon India Consumption Fund - Direct Plan Growth Plan - Bonus
152033,Sectoral/Thematic,,,Nippon India Innovation Fund-Direct Plan-Growth Option
130861,Sectoral/Thematic,,,Nippon India Japan Equity Fund- Direct Plan- Growth Plan- Bonus Option
130860,Sectoral/Thematic,,,Nippon India Japan Equity Fund- Direct Plan- Growth Plan- Growth Option
153693,Sectoral/Thematic,,,Nippon India MNC Fund- Direct Plan- Growth Option
118758,Sectoral/Thematic,,,Nippon India Pharma Fund - Direct Plan Growth Plan - Bonus Option
118762,Sectoral/Thematic,,,Nippon India Power & Infra Fund - Direct Plan Growth Plan - Bonus Option
118770,Sectoral/Thematic,,,Nippon India Quant Fund - Direct Plan Growth Plan - Bonus Option
149329,Sectoral/Thematic,,,Nippon India Taiwan Equity Fund- Direct Plan- Growth Option
134923,Sectoral/Thematic,,,Nippon India US Equity Opportunities Fund- Direct Plan- Growth Plan- Growth Option
153039,Sectoral/Thematic,,,PGIM India Healthcare Fund - Direct Plan - Growth Option
151791,Sectoral/Thematic,,,quant BFSI Fund - Growth Option - Direct Plan
151757,Sectoral/Thematic,,,quant Business Cycle Fund - Growth Option - Direct Plan
152336,Sectoral/Thematic,,,quant Consumption Fund - Growth Option - Direct Plan
148564,Sectoral/Thematic,,,quant ESG Integration Strategy Fund - Growth Option - Direct Plan
151853,Sectoral/Thematic,,,quant Healthcare Fund - Growth Option - Direct Plan
120833,Sectoral/Thematic,,,quant Infrastructure Fund - Growth Option-Direct Plan
152189,Sectoral/Thematic,,,quant Momentum Fund - Growth Option - Direct Plan
152415,Sectoral/Thematic,,,quant PSU Fund - Growth Option - Direct Plan
148925,Sectoral/Thematic,,,quant Quantamental Fund - Growth Option - Direct Plan
152067,Sectoral/Thematic,,,quant Teck Fund - Growth Option - Direct Plan
147372,Sectoral/Thematic,,,QUANTUM ESG BEST IN CLASS STRATEGY FUND - DIRECT PLAN - GROWTH OPTION
153094,Sectoral/Thematic,,,Quantum Ethical Fund - Direct Plan Growth Option
151753,Sectoral/Thematic,,,Samco Active Momentum Fund - Direct Plan - Growth Option
152586,Sectoral/Thematic,,,Samco Special Opportunities Fund - Direct Plan - Growth
152657,Sectoral/Thematic,,,SBI Automotive Opportunities Fund - Direct Plan - Growth
133859,Sectoral/Thematic,,,SBI BANKING & FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH
119705,Sectoral/Thematic,,,SBI COMMA Fund - DIRECT PLAN - Growth
120575,Sectoral/Thematic,,,SBI CONSUMPTION OPPORTUNITIES FUND - DIRECT PLAN - GROWTH
146643,Sectoral/Thematic,,,SBI Equity Minimum Variance Fund - Direct Plan - Growth
119700,Sectoral/Thematic,,,SBI INFRASTRUCTURE FUND -  DIRECT PLAN - GROWTH
152776,Sectoral/Thematic,,,SBI Innovative Opportunities Fund - Direct Plan - Growth
154177,Sectoral/Thematic,,,SBI Quality Fund - Direct Plan - Growth
153154,Sectoral/Thematic,,,SBI Quant Fund- Direct Plan- Growth
153076,Sectoral/Thematic,,,Shriram Multi Sector Rotation Fund - Direct Plan Growth Option
152677,Sectoral/Thematic,,,Sundaram Business Cycle Fund Direct Plan Growth
129212,Sectoral/Thematic,,,Sundaram Infrastructure Advantage Fund Direct Plan - Growth
153669,Sectoral/Thematic,,,Sundaram Multi-Factor Fund - Direct - Growth
144835,Sectoral/Thematic,,,Sundaram Services Fund Direct Plan - Growth
135793,Sectoral/Thematic,,,Tata Banking And Financial Services Fund-Direct Plan-Growth
119172,Sectoral/Thematic,,,Tata Ethical Fund -Direct Plan- Growth Option
150532,Sectoral/Thematic,,,Tata Housing Opportunities Fund - Direct Plan - Growth
135805,Sectoral/Thematic,,,Tata India Consumer Fund-Direct Plan-Growth
153055,Sectoral/Thematic,,,Tata India Innovation Fund- Direct Growth
119243,Sectoral/Thematic,,,Tata Infrastructure Fund -Direct Plan -Growth Option
147864,Sectoral/Thematic,,,Tata Quant Fund-Direct Plan-Growth
118876,Sectoral/Thematic,,,Taurus Ethical Fund - Direct Plan - Growth
153895,Sectoral/Thematic,,,THE WEALTH COMPANY ETHICAL FUND DIRECT GROWTH
153109,Sectoral/Thematic,,,Union Active Momentum Fund - Direct Plan - Growth Option
152409,Sectoral/Thematic,,,Union Business Cycle Fund - Direct Plan - Growth Option
154020,Sectoral/Thematic,,,Union Consumption Fund - Direct Plan - Growth Option
151905,Sectoral/Thematic,,,Union Innovation & Opportunities Fund - Direct Plan - Growth Option
120733,Sectoral/Thematic,,,UTI Banking and Financial Services Fund - Direct Plan - Growth Option
120780,Sectoral/Thematic,,,UTI India Consumer Fund - Direct Plan - Growth Option
120728,Sectoral/Thematic,,,UTI Infrastructure Fund-Growth Option- Direct
152087,Sectoral/Thematic,,,UTI Innovation Fund - Direct Plan - Growth Option
153204,Sectoral/Thematic,,,UTI Quant Fund - Direct Plan - Growth Option
152321,Sectoral/Thematic,,,WhiteOak Capital Banking & Financial Services Fund - Direct Growth
154161,Sectoral/Thematic,,,WhiteOak Capital Consumption Opportunities Fund Direct Plan Growth
152915,Sectoral/Thematic,,,WhiteOak Capital Digital Bharat Fund Direct Plan Growth
152962,Sectoral/Thematic,,,WhiteOak Capital ESG Best-In-Class Strategy Fund Direct Plan Growth
152349,Sectoral/Thematic,,,WhiteOak Capital Pharma and Heathcare Fund Direct Plan Growth
153189,Sectoral/Thematic,,,WhiteOak Capital Quality Equity Fund Direct Plan Growth
152644,Sectoral/Thematic,,,WhiteOak Capital Special Opportunities Fund - Direct Growth
152254,Sectoral/Thematic,,,Groww Banking & Financial Services Fund - Direct Plan - Growth
120385,Sectoral/Thematic,,,Invesco India Financial Services Fund - Direct Plan - Growth
152863,Sectoral/Thematic,,,Invesco India Technology Fund - Direct Plan - Growth
153291,Sectoral/Thematic,,,Invesco India Business Cycle Fund - Direct Plan - Growth
153900,Sectoral/Thematic,,,Invesco India Consumption Fund - Direct Plan - Growth
148751,Sectoral/Thematic,,,Invesco India ESG Integration Strategy Fund - Direct Plan - Growth
120405,Sectoral/Thematic,,,Invesco India Infrastructure Fund - Direct Plan - Growth Option
152756,Sectoral/Thematic,,,Invesco India Manufacturing Fund - Direct Plan - Growth
145356,Sectoral/Thematic,,,Mahindra Manulife Consumption Fund - Direct Plan -Growth
148623,Sectoral/Thematic,,,Mirae Asset Banking and Financial Services Fund Direct Growth
153983,Sectoral/Thematic,,,Mirae Asset Infrastructure Fund - Direct Plan - Growth
154451,Sectoral/Thematic,,,NJ Momentum Fund - Direct Growth
