amfi_code,category,proposed_sector,matched_on,needs_human,reason,note
153942,Sectoral/Thematic,,,YES,factor strategy — no sector named,Franklin India Multi-Factor Fund- Direct- Growth
118539,Sectoral/Thematic,,,YES,no sector keyword in the name,Franklin India Opportunities Fund - Direct - Growth
148986,Sectoral/Thematic,Banking/Financial Services,banking,,,HDFC Banking & Financial Services Fund - Growth Option - Direct Plan
150805,Sectoral/Thematic,Business Cycle,business cycle,,,HDFC Business Cycle Fund - Growth Option - Direct Plan
151804,Sectoral/Thematic,FMCG/Consumption,consumption,,,HDFC Consumption Fund - Growth Option - Direct Plan
153620,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",HDFC INNOVATION FUND - DIRECT PLAN - GROWTH OPTION
152600,Sectoral/Thematic,Manufacturing,manufacturing,,,HDFC Manufacturing fund - Growth Option - Direct Plan
151458,Sectoral/Thematic,MNC,mnc,,,HDFC MNC Fund - Growth Option - Direct Plan
152082,Sectoral/Thematic,Pharma/Healthcare,pharma,,,HDFC Pharma and Healthcare Fund - Growth Option - Direct Plan
152059,Sectoral/Thematic,IT/Technology,technology,,,HDFC Technology Fund - Growth Option - Direct Plan
151901,Sectoral/Thematic,Auto/Transportation,transportation,,,HDFC Transportation and Logistics Fund - Growth Option - Direct Plan
152679,Sectoral/Thematic,Banking/Financial Services,financial services,,,Helios Financial Services Fund - Direct Plan - Growth Option
151142,Sectoral/Thematic,Business Cycle,business cycle,,,HSBC Business Cycles Fund - Direct Growth
152032,Sectoral/Thematic,FMCG/Consumption,consumption,,,HSBC Consumption Fund - Direct Growth
153266,Sectoral/Thematic,Banking/Financial Services,financial services,,,HSBC Financial Services Fund - Direct Growth
151040,Sectoral/Thematic,Infrastructure,infrastructure,,,HSBC Infrastructure Fund - Direct Growth
153684,Sectoral/Thematic,,,YES,"momentum factor — names a factor, not a sector",ICICI Prudential Active Momentum Fund - Direct Plan - Growth
120244,Sectoral/Thematic,Banking/Financial Services,banking,,,ICICI Prudential Banking and Financial Services Fund - Direct Plan -  Growth
146951,Sectoral/Thematic,FMCG/Consumption,consumption,,,ICICI Prudential Bharat Consumption Fund - Direct Plan - Growth Option
153867,Sectoral/Thematic,,,YES,conglomerates — cross-sector holding companies,ICICI Prudential Conglomerate Fund - Direct Plan - Growth
152728,Sectoral/Thematic,Energy/Power,energy,,,ICICI PRUDENTIAL ENERGY OPPORTUNITIES FUND - Direct Plan - Growth
153070,Sectoral/Thematic,,,YES,factor strategy — no sector named,ICICI Prudential Equity Minimum Variance Fund - Direct Plan - Growth
148516,Sectoral/Thematic,ESG,esg,,,ICICI Prudential ESG Exclusionary Strategy Fund - Direct Plan - Growth
120587,Sectoral/Thematic,FMCG/Consumption,fmcg,,,ICICI Prudential FMCG Fund - Direct Plan -  Growth
120621,Sectoral/Thematic,Infrastructure,infrastructure,,,ICICI Prudential Infrastructure Fund - Direct Plan -  Growth
151580,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",ICICI Prudential Innovation Fund - Direct Plan - Growth
147346,Sectoral/Thematic,MNC,mnc,,,ICICI Prudential MNC Fund - Direct Plan - Growth Option
150539,Sectoral/Thematic,PSU,psu,,,ICICI Prudential PSU Equity Fund - Direct Plan - Growth
153458,Sectoral/Thematic,,,YES,factor strategy — no sector named,ICICI Prudential Quality Fund - Direct Plan - Growth
148600,Sectoral/Thematic,Quant,quant,,,ICICI Prudential Quant Fund Direct Plan Growth
153184,Sectoral/Thematic,,,YES,rural theme — spans several sectors,ICICI Prudential Rural Opportunities Fund - Direct Plan - Growth
120186,Sectoral/Thematic,,,YES,non-domestic mandate — a global sleeve does not belong in a domestic sector cohort even when it names one,ICICI Prudential US Bluechip Equity Fund - Direct Plan -  Growth
149321,Sectoral/Thematic,Banking/Financial Services,banking,,,ITI Banking and Financial Services Fund - Direct Plan - Growth Option
153260,Sectoral/Thematic,FMCG/Consumption,consumption,,,ITI Bharat Consumption Fund - Direct Plan - Growth
154157,Sectoral/Thematic,Business Cycle,business cycle,,,ITI Business Cycle Fund- Direct Plan- Growth
149268,Sectoral/Thematic,Pharma/Healthcare,pharma,,,ITI Pharma and Healthcare Fund - Direct Plan - Growth Option
154082,Sectoral/Thematic,,,YES,rotates ACROSS sectors — a single sector would be wrong by construction,JioBlackRock Sector Rotation Fund - Direct Plan - Growth Option
153753,Sectoral/Thematic,,,YES,"momentum factor — names a factor, not a sector",Kotak Active Momentum Fund - Direct Plan - Growth option
151384,Sectoral/Thematic,Banking/Financial Services,banking,,,Kotak Banking & Financial Services Fund - Direct Plan - Growth
150624,Sectoral/Thematic,Business Cycle,business cycle,,,Kotak Business Cycle - Direct Plan - Growth
152169,Sectoral/Thematic,FMCG/Consumption,consumption,,,Kotak Consumption Fund - Direct plan - Growth Option
153447,Sectoral/Thematic,Energy/Power,energy,,,Kotak Energy Opportunities Fund-Direct-Growth
148606,Sectoral/Thematic,ESG,esg,,,Kotak ESG Exclusionary Strategy Fund - Direct Plan - Growth Option
152214,Sectoral/Thematic,Pharma/Healthcare,healthcare,,,Kotak Healthcare Fund - Direct Plan - Growth Option
133801,Sectoral/Thematic,Infrastructure,infrastructure,,,Kotak Infrastructure & Economic Reform Fund- Direct Plan- Growth Option
149841,Sectoral/Thematic,Manufacturing,manufacture,,,Kotak Manufacture in India Fund - Direct Plan Growth
152910,Sectoral/Thematic,MNC,mnc,,,Kotak MNC Fund-Direct Plan-Growth
147727,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",Kotak Pioneer Fund- Direct Plan- Growth Option
151881,Sectoral/Thematic,Quant,quant,,,Kotak Quant Fund - Direct Plan - Growth Option
153970,Sectoral/Thematic,,,YES,rural theme — spans several sectors,Kotak Rural Opportunities Fund - Direct Plan - Growth
154149,Sectoral/Thematic,,,YES,"services theme — broad, spans finance/IT/telecom",Kotak Services Fund - Direct - Growth
152702,Sectoral/Thematic,,,YES,opportunistic mandate — no sector named,Kotak Special Opportunities Fund - Direct Plan - Growth Option
152462,Sectoral/Thematic,IT/Technology,technology,,,Kotak Technology Fund - Direct Plan - Growth Option
153118,Sectoral/Thematic,Auto/Transportation,transportation,,,Kotak Transportation & Logistics Fund-Direct Growth
134017,Sectoral/Thematic,Banking/Financial Services,banking,,,LIC MF Banking and Financial Services Fund-Direct Plan-Growth
153948,Sectoral/Thematic,FMCG/Consumption,consumption,,,LIC MF Consumption Fund-Direct Plan-Growth
152024,Sectoral/Thematic,Pharma/Healthcare,healthcare,,,LIC MF Healthcare Fund-Direct Plan-Growth
120351,Sectoral/Thematic,Infrastructure,infrastructure,,,LIC MF Infrastructure Fund-Direct Plan-Growth
152920,Sectoral/Thematic,Manufacturing,manufacturing,,,LIC MF Manufacturing Fund-Direct Plan-Growth
154244,Sectoral/Thematic,IT/Technology,technology,,,LIC MF Technology Fund-Direct Plan-Growth
152045,Sectoral/Thematic,Business Cycle,business cycle,,,Mahindra Manulife Business Cycle Fund - Direct Plan - Growth
154121,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",Mahindra Manulife Innovation Opportunities Fund - Direct - Growth
152672,Sectoral/Thematic,Manufacturing,manufacturing,,,Mahindra Manulife Manufacturing Fund - Direct Plan - Growth
153674,Sectoral/Thematic,Banking/Financial Services,banking,,,Mahindra Manulife Banking & Financial Services Fund - Direct - Growth
153364,Sectoral/Thematic,,,YES,"momentum factor — names a factor, not a sector",Motilal Oswal Active Momentum Fund- Direct-Growth
152796,Sectoral/Thematic,Business Cycle,business cycle,,,Motilal Oswal Business Cycle Fund - Direct Plan- Growth
153913,Sectoral/Thematic,FMCG/Consumption,consumption,,,Motilal Oswal Consumption Fund-Direct-Growth
152964,Sectoral/Thematic,IT/Technology,digital,,,Motilal Oswal Digital India Fund - Direct Plan - Growth
154142,Sectoral/Thematic,Banking/Financial Services,financial services,,,Motilal Oswal Financial Services Fund- Direct Growth
153484,Sectoral/Thematic,Infrastructure,infrastructure,,,Motilal Oswal Infrastructure Fund-Direct-Growth
153258,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",Motilal Oswal Innovation Opportunities Fund - Direct Plan- Growth
152760,Sectoral/Thematic,Manufacturing,manufacturing,,,Motilal Oswal Manufacturing Fund - Direct Plan- Growth
152694,Sectoral/Thematic,Quant,quant,,,Motilal Oswal Quant Fund - Direct - Growth
153558,Sectoral/Thematic,,,YES,"services theme — broad, spans finance/IT/telecom",Motilal Oswal Services Fund - Direct Plan - Growth
153749,Sectoral/Thematic,,,YES,opportunistic mandate — no sector named,Motilal Oswal Special Opportunities Fund - Direct - Growth
153274,Sectoral/Thematic,,,YES,"momentum factor — names a factor, not a sector",Nippon India Active Momentum Fund-Direct Plan - Growth Option
118588,Sectoral/Thematic,Banking/Financial Services,banking,,,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Bonus Option
118722,Sectoral/Thematic,FMCG/Consumption,consumption,,,Nippon India Consumption Fund - Direct Plan Growth Plan - Bonus
152033,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",Nippon India Innovation Fund-Direct Plan-Growth Option
130861,Sectoral/Thematic,,,YES,non-domestic mandate — a global sleeve does not belong in a domestic sector cohort even when it names one,Nippon India Japan Equity Fund- Direct Plan- Growth Plan- Bonus Option
130860,Sectoral/Thematic,,,YES,non-domestic mandate — a global sleeve does not belong in a domestic sector cohort even when it names one,Nippon India Japan Equity Fund- Direct Plan- Growth Plan- Growth Option
153693,Sectoral/Thematic,MNC,mnc,,,Nippon India MNC Fund- Direct Plan- Growth Option
118758,Sectoral/Thematic,Pharma/Healthcare,pharma,,,Nippon India Pharma Fund - Direct Plan Growth Plan - Bonus Option
118762,Sectoral/Thematic,Infrastructure,infra,,,Nippon India Power & Infra Fund - Direct Plan Growth Plan - Bonus Option
118770,Sectoral/Thematic,Quant,quant,,,Nippon India Quant Fund - Direct Plan Growth Plan - Bonus Option
149329,Sectoral/Thematic,,,YES,non-domestic mandate — a global sleeve does not belong in a domestic sector cohort even when it names one,Nippon India Taiwan Equity Fund- Direct Plan- Growth Option
134923,Sectoral/Thematic,,,YES,non-domestic mandate — a global sleeve does not belong in a domestic sector cohort even when it names one,Nippon India US Equity Opportunities Fund- Direct Plan- Growth Plan- Growth Option
153039,Sectoral/Thematic,Pharma/Healthcare,healthcare,,,PGIM India Healthcare Fund - Direct Plan - Growth Option
151791,Sectoral/Thematic,Banking/Financial Services,bfsi,,,quant BFSI Fund - Growth Option - Direct Plan
151757,Sectoral/Thematic,Business Cycle,business cycle,,,quant Business Cycle Fund - Growth Option - Direct Plan
152336,Sectoral/Thematic,FMCG/Consumption,consumption,,,quant Consumption Fund - Growth Option - Direct Plan
148564,Sectoral/Thematic,ESG,esg,,,quant ESG Integration Strategy Fund - Growth Option - Direct Plan
151853,Sectoral/Thematic,Pharma/Healthcare,healthcare,,,quant Healthcare Fund - Growth Option - Direct Plan
120833,Sectoral/Thematic,Infrastructure,infrastructure,,,quant Infrastructure Fund - Growth Option-Direct Plan
152189,Sectoral/Thematic,,,YES,"momentum factor — names a factor, not a sector",quant Momentum Fund - Growth Option - Direct Plan
152415,Sectoral/Thematic,PSU,psu,,,quant PSU Fund - Growth Option - Direct Plan
148925,Sectoral/Thematic,,,YES,factor strategy — no sector named,quant Quantamental Fund - Growth Option - Direct Plan
152067,Sectoral/Thematic,IT/Technology,teck,,,quant Teck Fund - Growth Option - Direct Plan
147372,Sectoral/Thematic,ESG,esg,,,QUANTUM ESG BEST IN CLASS STRATEGY FUND - DIRECT PLAN - GROWTH OPTION
153094,Sectoral/Thematic,,,YES,"ethical/Shariah screen — a religious-law filter, NOT the ESG sector",Quantum Ethical Fund - Direct Plan Growth Option
151753,Sectoral/Thematic,,,YES,"momentum factor — names a factor, not a sector",Samco Active Momentum Fund - Direct Plan - Growth Option
152586,Sectoral/Thematic,,,YES,opportunistic mandate — no sector named,Samco Special Opportunities Fund - Direct Plan - Growth
152657,Sectoral/Thematic,Auto/Transportation,automotive,,,SBI Automotive Opportunities Fund - Direct Plan - Growth
133859,Sectoral/Thematic,Banking/Financial Services,banking,,,SBI BANKING & FINANCIAL SERVICES FUND - DIRECT PLAN - GROWTH
119705,Sectoral/Thematic,Commodities/Natural Resources,comma,,,SBI COMMA Fund - DIRECT PLAN - Growth
120575,Sectoral/Thematic,FMCG/Consumption,consumption,,,SBI CONSUMPTION OPPORTUNITIES FUND - DIRECT PLAN - GROWTH
146643,Sectoral/Thematic,,,YES,factor strategy — no sector named,SBI Equity Minimum Variance Fund - Direct Plan - Growth
119700,Sectoral/Thematic,Infrastructure,infrastructure,,,SBI INFRASTRUCTURE FUND -  DIRECT PLAN - GROWTH
152776,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",SBI Innovative Opportunities Fund - Direct Plan - Growth
154177,Sectoral/Thematic,,,YES,factor strategy — no sector named,SBI Quality Fund - Direct Plan - Growth
153154,Sectoral/Thematic,Quant,quant,,,SBI Quant Fund- Direct Plan- Growth
153076,Sectoral/Thematic,,,YES,rotates ACROSS sectors — a single sector would be wrong by construction,Shriram Multi Sector Rotation Fund - Direct Plan Growth Option
152677,Sectoral/Thematic,Business Cycle,business cycle,,,Sundaram Business Cycle Fund Direct Plan Growth
129212,Sectoral/Thematic,Infrastructure,infrastructure,,,Sundaram Infrastructure Advantage Fund Direct Plan - Growth
153669,Sectoral/Thematic,,,YES,factor strategy — no sector named,Sundaram Multi-Factor Fund - Direct - Growth
144835,Sectoral/Thematic,,,YES,"services theme — broad, spans finance/IT/telecom",Sundaram Services Fund Direct Plan - Growth
135793,Sectoral/Thematic,Banking/Financial Services,banking,,,Tata Banking And Financial Services Fund-Direct Plan-Growth
119172,Sectoral/Thematic,,,YES,"ethical/Shariah screen — a religious-law filter, NOT the ESG sector",Tata Ethical Fund -Direct Plan- Growth Option
150532,Sectoral/Thematic,Housing/Real Estate,housing,,,Tata Housing Opportunities Fund - Direct Plan - Growth
135805,Sectoral/Thematic,FMCG/Consumption,consumer,,,Tata India Consumer Fund-Direct Plan-Growth
153055,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",Tata India Innovation Fund- Direct Growth
119243,Sectoral/Thematic,Infrastructure,infrastructure,,,Tata Infrastructure Fund -Direct Plan -Growth Option
147864,Sectoral/Thematic,Quant,quant,,,Tata Quant Fund-Direct Plan-Growth
118876,Sectoral/Thematic,,,YES,"ethical/Shariah screen — a religious-law filter, NOT the ESG sector",Taurus Ethical Fund - Direct Plan - Growth
153895,Sectoral/Thematic,,,YES,"ethical/Shariah screen — a religious-law filter, NOT the ESG sector",THE WEALTH COMPANY ETHICAL FUND DIRECT GROWTH
153109,Sectoral/Thematic,,,YES,"momentum factor — names a factor, not a sector",Union Active Momentum Fund - Direct Plan - Growth Option
152409,Sectoral/Thematic,Business Cycle,business cycle,,,Union Business Cycle Fund - Direct Plan - Growth Option
154020,Sectoral/Thematic,FMCG/Consumption,consumption,,,Union Consumption Fund - Direct Plan - Growth Option
151905,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",Union Innovation & Opportunities Fund - Direct Plan - Growth Option
120733,Sectoral/Thematic,Banking/Financial Services,banking,,,UTI Banking and Financial Services Fund - Direct Plan - Growth Option
120780,Sectoral/Thematic,FMCG/Consumption,consumer,,,UTI India Consumer Fund - Direct Plan - Growth Option
120728,Sectoral/Thematic,Infrastructure,infrastructure,,,UTI Infrastructure Fund-Growth Option- Direct
152087,Sectoral/Thematic,,,YES,"innovation theme — names a strategy, not a sector",UTI Innovation Fund - Direct Plan - Growth Option
153204,Sectoral/Thematic,Quant,quant,,,UTI Quant Fund - Direct Plan - Growth Option
152321,Sectoral/Thematic,Banking/Financial Services,banking,,,WhiteOak Capital Banking & Financial Services Fund - Direct Growth
154161,Sectoral/Thematic,FMCG/Consumption,consumption,,,WhiteOak Capital Consumption Opportunities Fund Direct Plan Growth
152915,Sectoral/Thematic,IT/Technology,digital,,,WhiteOak Capital Digital Bharat Fund Direct Plan Growth
152962,Sectoral/Thematic,ESG,esg,,,WhiteOak Capital ESG Best-In-Class Strategy Fund Direct Plan Growth
152349,Sectoral/Thematic,Pharma/Healthcare,pharma,,,WhiteOak Capital Pharma and Heathcare Fund Direct Plan Growth
153189,Sectoral/Thematic,,,YES,factor strategy — no sector named,WhiteOak Capital Quality Equity Fund Direct Plan Growth
152644,Sectoral/Thematic,,,YES,opportunistic mandate — no sector named,WhiteOak Capital Special Opportunities Fund - Direct Growth
152254,Sectoral/Thematic,Banking/Financial Services,banking,,,Groww Banking & Financial Services Fund - Direct Plan - Growth
120385,Sectoral/Thematic,Banking/Financial Services,financial services,,,Invesco India Financial Services Fund - Direct Plan - Growth
152863,Sectoral/Thematic,IT/Technology,technology,,,Invesco India Technology Fund - Direct Plan - Growth
153291,Sectoral/Thematic,Business Cycle,business cycle,,,Invesco India Business Cycle Fund - Direct Plan - Growth
153900,Sectoral/Thematic,FMCG/Consumption,consumption,,,Invesco India Consumption Fund - Direct Plan - Growth
148751,Sectoral/Thematic,ESG,esg,,,Invesco India ESG Integration Strategy Fund - Direct Plan - Growth
120405,Sectoral/Thematic,Infrastructure,infrastructure,,,Invesco India Infrastructure Fund - Direct Plan - Growth Option
152756,Sectoral/Thematic,Manufacturing,manufacturing,,,Invesco India Manufacturing Fund - Direct Plan - Growth
145356,Sectoral/Thematic,FMCG/Consumption,consumption,,,Mahindra Manulife Consumption Fund - Direct Plan -Growth
148623,Sectoral/Thematic,Banking/Financial Services,banking,,,Mirae Asset Banking and Financial Services Fund Direct Growth
153983,Sectoral/Thematic,Infrastructure,infrastructure,,,Mirae Asset Infrastructure Fund - Direct Plan - Growth
154451,Sectoral/Thematic,,,YES,"momentum factor — names a factor, not a sector",NJ Momentum Fund - Direct Growth
