amfi_code,scheme_name,amc,category,sector,first_nav_date,last_nav_date,n_obs
119589,Sundaram Small Cap Fund Direct Plan - Growth,Sundaram Mutual Fund,Small Cap,,2013-01-02,2026-07-13,3326
120164,Kotak-Small Cap Fund - Growth - Direct,Kotak Mahindra Mutual Fund,Small Cap,,2013-01-02,2026-07-13,3327
120591,ICICI Prudential Smallcap Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Small Cap,,2013-01-03,2026-07-13,3298
120828,quant Small Cap Fund - Growth Option - Direct Plan,quant Mutual Fund,Small Cap,,2013-01-07,2026-07-13,3325
125354,Axis Small Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Small Cap,,2013-12-05,2026-07-13,3106
125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Small Cap,,2013-11-18,2026-07-13,3120
118650,Nippon India Multi Cap Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Multi Cap,,2013-01-02,2026-07-13,3327
119354,Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,Multi Cap,,2013-01-02,2026-07-13,3327
120413,Invesco India Multicap Fund - Direct Plan - Growth Option,Invesco Mutual Fund,Multi Cap,,2013-01-02,2026-07-13,3327
120599,ICICI Prudential Multicap Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,Multi Cap,,2013-01-02,2026-07-13,3327
120823,quant Multi Cap Fund-GROWTH OPTION-Direct Plan,quant Mutual Fund,Multi Cap,,2013-01-07,2026-07-13,3330
141226,Mahindra Manulife Multi Cap Fund - Direct Plan -Growth,Mahindra Manulife Mutual Fund,Multi Cap,,2017-05-18,2026-07-13,2255
147183,ITI Multi Cap Fund - Direct Plan - Growth Option,ITI Mutual Fund,Multi Cap,,2019-05-16,2026-07-13,1762
148921,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth,Aditya Birla Sun Life Mutual Fund,Multi Cap,,2021-05-10,2026-07-13,1275
118421,Bandhan Focused Fund - Direct Plan - Growth,Bandhan Mutual Fund,Focused,,2013-01-02,2026-07-13,3336
118564,Franklin India Focused Equity Fund - Direct - Growth,Franklin Templeton Mutual Fund,Focused,,2013-01-01,2026-07-13,3328
118692,Nippon India Focused Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Focused,,2013-01-02,2026-07-13,3327
118950,HDFC Focused Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Focused,,2013-01-01,2026-07-13,3328
119096,DSP Focused Fund - Direct Plan - Growth,DSP Mutual Fund,Focused,,2013-01-02,2026-07-13,3329
119564,Aditya Birla Sun Life Focused Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Focused,,2013-01-02,2026-07-13,3326
119727,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,SBI Mutual Fund,Focused,,2013-01-02,2026-07-10,3333
120468,Axis Focused Fund - Direct Plan - Growth Option,Axis Mutual Fund,Focused,,2013-01-02,2026-07-13,3335
103490,Quantum Value Fund - Direct Plan Growth Option,Quantum Mutual Fund,Value/Contra,,2006-04-03,2026-07-13,4993
118481,Bandhan Value Fund - Direct Plan - Growth,Bandhan Mutual Fund,Value/Contra,,2013-01-02,2026-07-13,3336
118494,Templeton India Value Fund - Direct - Growth,Franklin Templeton Mutual Fund,Value/Contra,,2013-01-01,2026-07-13,3327
118784,Nippon India Value Fund - Direct Plan Growth Plan,Nippon India Mutual Fund,Value/Contra,,2013-01-02,2026-07-13,3327
118935,HDFC Value Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Value/Contra,,2013-01-01,2026-07-13,3328
119231,Tata Value Fund -Direct Plan Growth Option,Tata Mutual Fund,Value/Contra,,2013-01-02,2026-07-13,3327
119549,Sundaram Value Fund Direct Plan - Growth,Sundaram Mutual Fund,Value/Contra,,2013-01-02,2026-07-13,3326
119659,Aditya Birla Sun Life Value Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Value/Contra,,2013-01-02,2026-07-13,3326
119769,Kotak Contra Fund - Direct Plan - Growth,Kotak Mahindra Mutual Fund,Value/Contra,,2013-01-02,2026-07-13,3326
111549,Quantum ELSS Tax Saver Fund - Direct Plan Growth Option,Quantum Mutual Fund,ELSS,,2008-12-31,2026-07-13,4315
118285,CANARA ROBECO ELSS TAX SAVER - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,ELSS,,2013-01-02,2026-07-13,3327
118473,BANDHAN ELSS Tax Saver Fund - Direct Plan - Growth,Bandhan Mutual Fund,ELSS,,2013-01-02,2026-07-13,3336
118540,Franklin India ELSS Tax Saver Fund - Direct - Growth,Franklin Templeton Mutual Fund,ELSS,,2013-01-01,2026-07-13,3328
118620,Edelweiss ELSS Tax Saver Fund - Direct Plan-Growth Option,Edelweiss Mutual Fund,ELSS,,2013-01-24,2026-07-13,3313
118803,Nippon India ELSS Tax Saver Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,ELSS,,2013-01-02,2026-07-13,3327
118866,Taurus ELSS Tax Saver Fund - Direct Plan - Growth,Taurus Mutual Fund,ELSS,,2013-01-02,2026-07-13,3329
118929,HDFC Long Term Advantage Plan - Growth Option - Direct Plan,HDFC Mutual Fund,ELSS,,2013-01-01,2022-01-14,2225
119242,DSP ELSS Tax Saver Fund - Direct Plan - Growth,DSP Mutual Fund,ELSS,,2013-01-02,2026-07-13,3329
119307,Union ELSS Tax Saver Fund - Direct Plan - Growth Option,Union Mutual Fund,ELSS,,2013-01-02,2026-07-13,3326
118589,Nippon India Banking & Financial Services Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2013-01-02,2026-07-13,3327
118868,Taurus Banking & Financial Services Fund - Direct Plan - Growth,Taurus Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2013-01-03,2026-07-13,3328
119333,Baroda BNP Paribas Banking and Financial Services Fund - Direct - Growth Option,Baroda BNP Paribas Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2013-01-02,2026-07-13,3327
119364,BANK OF INDIA Manufacturing & Infrastructure Fund-Direct Plan-Growth,Bank of India Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2013-01-02,2026-07-13,3327
119597,Sundaram Financial Services Opportunities Fund Direct Plan - Growth,Sundaram Mutual Fund,Sectoral/Thematic,Banking/Financial Services,2013-01-02,2026-07-13,3326
118273,CANARA ROBECO CONSUMPTION FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Sectoral/Thematic,FMCG/Consumption,2013-01-02,2026-07-13,3327
118724,Nippon India Consumption Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Sectoral/Thematic,FMCG/Consumption,2013-01-02,2026-07-13,3327
118837,Mirae Asset Great Consumer Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Sectoral/Thematic,FMCG/Consumption,2013-01-02,2026-07-13,3327
119591,Aditya Birla Sun Life Consumption Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Sectoral/Thematic,FMCG/Consumption,2013-01-02,2026-07-13,3326
119595,Sundaram Consumption Fund (Formerly Known as Sundaram Rural and Consumption Fund Direct Plan - Growth),Sundaram Mutual Fund,Sectoral/Thematic,FMCG/Consumption,2013-01-02,2026-07-13,3326
118267,CANARA ROBECO INFRASTRUCTURE FUND - DIRECT PLAN - GROWTH OPTION,Canara Robeco Mutual Fund,Sectoral/Thematic,Infrastructure,2013-01-02,2026-07-13,3327
118469,BANDHAN Infrastructure Fund-Direct Plan-Growth,Bandhan Mutual Fund,Sectoral/Thematic,Infrastructure,2013-01-02,2026-07-13,3336
118763,Nippon India Power & Infra Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Sectoral/Thematic,Infrastructure,2013-01-02,2026-07-13,3327
118879,Taurus Infrastructure Fund - Direct Plan - Growth,Taurus Mutual Fund,Sectoral/Thematic,Infrastructure,2013-01-02,2026-07-13,3329
118979,HDFC Infrastructure Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Sectoral/Thematic,Infrastructure,2013-01-01,2026-07-13,3328
118759,Nippon India Pharma Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Sectoral/Thematic,Pharma/Healthcare,2013-01-02,2026-07-13,3327
119783,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,SBI Mutual Fund,Sectoral/Thematic,Pharma/Healthcare,2013-01-02,2026-07-10,3334
120782,UTI Healthcare Fund - Direct Plan - Growth Option,UTI Mutual Fund,Sectoral/Thematic,Pharma/Healthcare,2013-01-02,2026-07-13,3327
135810,Tata India Pharma & Healthcare Fund-Direct Plan-Growth,Tata Mutual Fund,Sectoral/Thematic,Pharma/Healthcare,2015-12-29,2026-07-13,2595
143783,Mirae Asset Healthcare Fund Direct Growth,Mirae Asset Mutual Fund,Sectoral/Thematic,Pharma/Healthcare,2018-07-03,2026-07-13,1974
118537,Franklin India Technology Fund - Direct - Growth,Franklin Templeton Mutual Fund,Sectoral/Thematic,IT/Technology,2013-01-01,2026-07-10,3324
120539,Aditya Birla Sun Life Digital India Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Sectoral/Thematic,IT/Technology,2013-01-02,2026-07-10,3324
120578,SBI TECHNOLOGY OPPORTUNITIES FUND - DIRECT PLAN - GROWTH,SBI Mutual Fund,Sectoral/Thematic,IT/Technology,2013-01-10,2026-07-10,3327
120594,ICICI Prudential Technology Fund - Direct Plan -  Growth,ICICI Prudential Mutual Fund,Sectoral/Thematic,IT/Technology,2013-01-02,2026-07-10,3324
135800,Tata Digital India Fund-Direct Plan-Growth,Tata Mutual Fund,Sectoral/Thematic,IT/Technology,2015-12-29,2026-07-13,2594
133516,Aditya Birla Sun Life Manufacturing Equity Fund - Direct Plan - Growth,Aditya Birla Sun Life Mutual Fund,Sectoral/Thematic,Manufacturing,2015-02-03,2026-07-13,2815
151916,quant Manufacturing Fund - Growth Option - Direct Plan,quant Mutual Fund,Sectoral/Thematic,Manufacturing,2023-08-16,2026-07-13,713
152202,Axis India Manufacturing Fund - Direct Plan - Growth,Axis Mutual Fund,Sectoral/Thematic,Manufacturing,2023-12-27,2026-07-13,633
119646,Aditya Birla Sun Life MNC Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Sectoral/Thematic,MNC,2013-01-02,2026-07-10,3325
119711,SBI MNC FUND - DIRECT PLAN -GROWTH,SBI Mutual Fund,Sectoral/Thematic,MNC,2013-01-02,2026-07-13,3335
120682,UTI - MNC Fund - Growth Option - Direct,UTI Mutual Fund,Sectoral/Thematic,MNC,2013-01-02,2026-07-13,3327
120731,UTI-Transportation and Logistics  Fund-Growth Option- Direct,UTI Mutual Fund,Sectoral/Thematic,Auto/Transportation,2013-01-02,2026-07-13,3327
150685,ICICI PRUDENTIAL TRANSPORTATION AND LOGISTICS FUND - Direct Plan - Growth,ICICI Prudential Mutual Fund,Sectoral/Thematic,Auto/Transportation,2022-10-31,2026-07-13,910
150716,BANDHAN TRANSPORTATION AND LOGISTICS FUND - GROWTH - DIRECT PLAN,Bandhan Mutual Fund,Sectoral/Thematic,Auto/Transportation,2022-10-27,2026-07-13,921
119028,DSP Natural Resources and New Energy Fund - Direct Plan - Growth,DSP Mutual Fund,Sectoral/Thematic,Energy/Power,2013-01-04,2026-07-10,3231
135813,Tata Resources & Energy Fund-Direct Plan-Growth,Tata Mutual Fund,Sectoral/Thematic,Energy/Power,2015-12-29,2026-07-13,2595
152417,SBI Energy Opportunities Fund - Direct Plan - Growth,SBI Mutual Fund,Sectoral/Thematic,Energy/Power,2024-03-01,2026-07-13,589
119732,SBI PSU Fund - DIRECT PLAN - GROWTH,SBI Mutual Fund,Sectoral/Thematic,PSU,2013-01-03,2026-07-13,3335
120395,Invesco India PSU Equity Fund - Direct Plan - Growth,Invesco Mutual Fund,Sectoral/Thematic,PSU,2013-01-02,2026-07-13,3327
147844,Aditya Birla Sun Life PSU Equity Fund-Direct Plan-Growth,Aditya Birla Sun Life Mutual Fund,Sectoral/Thematic,PSU,2020-01-01,2026-07-13,1610
147662,ICICI Prudential Commodities Fund - Direct Plan - Growth Option,ICICI Prudential Mutual Fund,Sectoral/Thematic,Commodities/Natural Resources,2019-10-16,2026-07-10,1660
152255,quant Commodities Fund - Growth Option - Direct Plan,quant Mutual Fund,Sectoral/Thematic,Commodities/Natural Resources,2023-12-28,2026-07-13,624
141924,HDFC Housing Opportunities Fund  - Growth Option - Direct Plan,HDFC Mutual Fund,Sectoral/Thematic,Housing/Real Estate,2017-12-07,2026-07-13,2115
150310,ICICI PRUDENTIAL HOUSING OPPORTUNITIES FUND - Direct Plan Growth,ICICI Prudential Mutual Fund,Sectoral/Thematic,Housing/Real Estate,2022-04-19,2026-07-13,1042
151750,HDFC Defence Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Sectoral/Thematic,Defence,2023-06-02,2026-07-13,764
120688,ICICI Prudential Exports & Services Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Sectoral/Thematic,Exports,2013-01-08,2026-07-13,3322
152829,HSBC India Export Opportunities Fund - Direct Growth,HSBC Mutual Fund,Sectoral/Thematic,Exports,2024-09-30,2026-07-13,438
118769,Nippon India Quant Fund - Direct Plan Growth Plan - Growth Option,Nippon India Mutual Fund,Sectoral/Thematic,Quant,2013-01-02,2026-07-13,3327
147306,DSP Quant Fund - Direct Plan - Growth,DSP Mutual Fund,Sectoral/Thematic,Quant,2019-06-11,2026-07-13,1746
119709,SBI ESG Exclusionary Strategy Fund - Direct Plan -Growth,SBI Mutual Fund,Sectoral/Thematic,ESG,2013-01-02,2026-07-13,3335
148651,ICICI Prudential Business Cycle Fund Direct Plan Growth,ICICI Prudential Mutual Fund,Sectoral/Thematic,Business Cycle,2021-01-19,2026-07-10,1346
149071,Tata Business Cycle Fund-Direct Plan-Growth,Tata Mutual Fund,Sectoral/Thematic,Business Cycle,2021-08-11,2026-07-13,1210
154337,Motilal Oswal Contra Fund - Direct â Growth,Motilal Oswal Mutual Fund,Value/Contra,,2026-06-04,2026-08-03,42
119835,SBI CONTRA FUND - DIRECT PLAN - GROWTH,SBI Mutual Fund,Value/Contra,,2013-01-02,2026-08-03,3349
151165,360 ONE ELSS Tax Saver Nifty 50 Index Fund - Direct Plan - Growth,360 ONE Mutual Fund,ELSS,,2023-01-02,2026-08-03,881
119544,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,ELSS,,2013-01-02,2026-08-03,3341
120503,Axis ELSS Tax Saver Fund - Direct Plan - Growth Option,Axis Mutual Fund,ELSS,,2013-01-02,2026-08-03,3350
153201,BAJAJ FINSERV ELSS TAX SAVER FUND - DIRECT - GROWTH,Bajaj Finserv Mutual Fund,ELSS,,2025-02-03,2026-08-03,368
119351,BANK OF INDIA ELSS Tax Saver -Direct Plan- Growth,Bank of India Mutual Fund,ELSS,,2013-01-02,2026-08-03,3342
150159,BARODA BNP PARIBAS ELSS Tax Saver Fund - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,ELSS,,2022-03-14,2026-08-03,1080
141808,Groww ELSS Tax Saver Fund (formerly known as Indiabulls Tax Savings Fund)- Direct Plan- Growth Option,Groww Mutual Fund,ELSS,,2017-12-29,2026-08-03,2115
119060,HDFC ELSS Tax saver - Growth Option - Direct Plan,HDFC Mutual Fund,ELSS,,2013-01-01,2026-08-03,3343
151078,HSBC ELSS Tax saver Fund - Direct Growth,HSBC Mutual Fund,ELSS,,2022-11-28,2026-08-03,906
120592,ICICI Prudential ELSS Tax Saver Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,ELSS,,2013-01-02,2026-08-03,3342
147541,ITI ELSS Tax Saver Fund - Direct Plan - Growth Option,ITI Mutual Fund,ELSS,,2019-10-25,2026-08-03,1669
120494,JM ELSS Tax Saver Fund (Direct) - Growth Option,JM Financial Mutual Fund,ELSS,,2013-01-02,2026-08-03,3342
119773,Kotak ELSS Tax Saver Fund-Growth - Direct,Kotak Mahindra Mutual Fund,ELSS,,2013-01-02,2026-08-03,3342
120270,LIC MF ELSS Tax Saver-Direct Plan-Growth,LIC Mutual Fund,ELSS,,2013-01-02,2026-08-03,3332
135781,Mirae Asset ELSS Tax Saver Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,ELSS,,2015-12-29,2026-08-03,2610
133386,Motilal Oswal ELSS Tax Saver Fund - Direct Plan - Growth Option,Motilal Oswal Mutual Fund,ELSS,,2015-01-22,2026-08-03,2838
135654,Navi ELSS Tax Saver Fund- Direct Plan- Growth Option,Navi Mutual Fund,ELSS,,2015-12-31,2026-04-10,2532
151471,NAVI ELSS TAX SAVER NIFTY 50 INDEX FUND - DIRECT PLAN GROWTH,Navi Mutual Fund,ELSS,,2023-03-21,2026-08-03,828
135601,PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option,PGIM India Mutual Fund,ELSS,,2015-12-14,2026-08-03,2621
147481,Parag Parikh ELSS Tax Saver Fund- Direct Growth,PPFAS Mutual Fund,ELSS,,2019-07-26,2026-08-03,1728
120847,quant ELSS Tax Saver Fund - Growth Option - Direct Plan,quant Mutual Fund,ELSS,,2013-01-07,2026-08-03,3345
150838,Samco ELSS Tax Saver Fund - Direct Plan - Growth Option,Samco Mutual Fund,ELSS,,2022-12-29,2026-08-03,883
119723,SBI ELSS Tax Saver FUND - DIRECT PLAN -GROWTH,SBI Mutual Fund,ELSS,,2013-01-02,2026-08-03,3351
145819,Shriram ELSS Tax Saver Fund - Direct Growth,Shriram Mutual Fund,ELSS,,2019-02-01,2026-08-03,1846
149570,Sundaram ELSS Tax Saver Fund Direct Plan Growth,Sundaram Mutual Fund,ELSS,,2022-01-03,2026-08-03,1128
132756,Tata ELSS Fund-Growth-Direct Plan,Tata Mutual Fund,ELSS,,2014-10-14,2026-08-03,2904
120715,UTI ELSS Tax Saver Fund - Direct Plan - Growth Option,UTI Mutual Fund,ELSS,,2013-01-02,2026-08-03,3342
150587,WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth,WhiteOak Capital Mutual Fund,ELSS,,2022-10-17,2026-08-03,933
151796,360 ONE FLEXICAP FUND-DIRECT PLAN- GROWTH,360 ONE Mutual Fund,Flexi Cap,,2023-07-06,2026-08-03,756
154043,Abakkus Flexi Cap Fund - Direct - Growth,Abakkus Mutual Fund,Flexi Cap,,2025-12-30,2026-08-03,146
120564,Aditya Birla Sun Life Flexi Cap Fund - Growth - Direct Plan,Aditya Birla Sun Life Mutual Fund,Flexi Cap,,2013-01-02,2026-08-03,3341
141925,Axis Flexi Cap Fund - Direct Plan - Growth,Axis Mutual Fund,Flexi Cap,,2017-11-24,2026-08-03,2147
151895,Bajaj Finserv Flexi Cap Fund-Direct Plan-Growth,Bajaj Finserv Mutual Fund,Flexi Cap,,2023-08-16,2026-08-03,728
148404,BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,Bank of India Mutual Fund,Flexi Cap,,2020-07-01,2026-08-03,1503
150387,Baroda BNP Paribas Flexi Cap Fund - Direct Plan - Growth Option,Baroda BNP Paribas Mutual Fund,Flexi Cap,,2022-08-22,2026-08-03,971
153738,CAPITALMIND FLEXI CAP FUND DIRECT GROWTH,Capitalmind Mutual Fund,Flexi Cap,,2025-08-06,2026-08-03,243
140353,Edelweiss Flexi Cap Fund - Direct Plan - Growth Option,Edelweiss Mutual Fund,Flexi Cap,,2016-11-28,2026-08-03,2388
152135,Helios Flexi Cap Fund - Direct Plan - Growth Option,Helios Mutual Fund,Flexi Cap,,2023-11-15,2026-08-03,669
148990,ICICI Prudential Flexicap Fund - Direct Plan - Growth,ICICI Prudential Mutual Fund,Flexi Cap,,2021-07-19,2026-08-03,1241
151379,ITI Flexi Cap Fund- Direct Plan- Growth,ITI Mutual Fund,Flexi Cap,,2023-02-22,2026-08-03,844
153859,JioBlackRock Flexi Cap Fund - Direct Plan - Growth Option,Jio BlackRock Mutual Fund,Flexi Cap,,2025-10-17,2026-08-03,194
120492,JM Flexicap Fund (Direct) - Growth Option,JM Financial Mutual Fund,Flexi Cap,,2013-01-02,2026-08-03,3342
120264,LIC MF Flexi Cap Fund-Direct Plan-Growth,LIC Mutual Fund,Flexi Cap,,2013-01-02,2026-08-03,3332
151412,Mirae Asset Flexi Cap Fund - Direct Plan - Growth,Mirae Asset Mutual Fund,Flexi Cap,,2023-02-27,2026-08-03,842
129046,Motilal Oswal Flexi cap Fund Direct Plan-Growth Option,Motilal Oswal Mutual Fund,Flexi Cap,,2014-04-29,2026-08-03,3017
143793,Navi Flexi Cap Fund - Direct Plan - Growth,Navi Mutual Fund,Flexi Cap,,2018-07-10,2026-08-03,1985
149094,Nippon India Flexi Cap Fund - Direct Plan - Growth Plan - Growth Option,Nippon India Mutual Fund,Flexi Cap,,2021-08-18,2026-08-03,1220
154225,Old Bridge Flexi Cap Fund Direct Growth,Old Bridge Mutual Fund,Flexi Cap,,2026-03-04,2026-08-03,103
133839,PGIM India Flexi Cap Fund - Direct Plan - Growth Option,PGIM India Mutual Fund,Flexi Cap,,2015-03-09,2026-08-03,2810
122639,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,PPFAS Mutual Fund,Flexi Cap,,2013-05-28,2026-08-03,3242
120843,quant Flexi Cap Fund - Growth Option-Direct Plan,quant Mutual Fund,Flexi Cap,,2013-01-07,2026-08-03,3345
149450,Samco Flexi Cap Fund - Direct Plan - Growth Option,Samco Mutual Fund,Flexi Cap,,2022-02-09,2026-08-03,1100
